"1 _ 1",,,"2A",,,"1 _ 3",,,"4A",,
"Time","Force","Uzama","Time","Force","Uzama","Time","Force","Uzama","Time","Force","Uzama"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
,,,"25.92","4.425049","0.8639","25.92","21.55304","0.8639","25.92","10.64301","0.8639333"
,,,"25.93","4.417101","0.8642333","25.93","21.57688","0.8642333","25.93","10.63824","0.8642667"
,,,"25.94","4.413923","0.8645667","25.94","21.61026","0.8645667","25.94","10.61598","0.8646"
,,,"25.95","4.409154","0.8649","25.95","21.65318","0.8649","25.95","10.60168","0.8649334"
,,,"25.96","4.404386","0.8652334","25.96","21.68973","0.8652334","25.96","10.60009","0.8653"
,,,"25.97","4.39326","0.8655667","25.97","21.6945","0.8655667","25.97","10.60009","0.8656667"
,,,"25.98","4.378954","0.8659","25.98","21.65635","0.8659","25.98","10.60168","0.8659334"
,,,"25.99","4.355113","0.8662333","25.99","21.60708","0.8662","25.99","10.61281","0.8662667"
,,,"26","4.342397","0.8666","26","21.58324","0.8665667","26","10.61281","0.8665667"
,,,"26.01","4.345576","0.8669333","26.01","21.59119","0.8669","26.01","10.60009","0.8669333"
,,,"26.02","4.359881","0.8672667","26.02","21.60231","0.8672333","26.02","10.58261","0.8672667"
,,,"26.03","4.371007","0.8676","26.03","21.60231","0.8676","26.03","10.57148","0.8675667"
,,,"26.04","4.372597","0.8679333","26.04","21.61503","0.8679","26.04","10.56194","0.8679"
,,,"26.05","4.375776","0.8682333","26.05","21.6643","0.8682333","26.05","10.54605","0.8682333"
,,,"26.06","4.375776","0.8685667","26.06","21.73901","0.8685667","26.06","10.52539","0.8686"
,,,"26.07","4.36306","0.8689","26.07","21.80735","0.8689","26.07","10.50949","0.8689333"
,,,"26.08","4.345576","0.8692334","26.08","21.83914","0.8692334","26.08","10.50949","0.8692334"
,,,"26.09","4.345576","0.8696","26.09","21.82325","0.8695667","26.09","10.52062","0.8696"
,,,"26.1","4.36306","0.8699334","26.1","21.7851","0.8699","26.1","10.51744","0.8699667"
,,,"26.11","4.375776","0.8702667","26.11","21.76126","0.8702334","26.11","10.49995","0.8702667"
,,,"26.12","4.375776","0.8706","26.12","21.76921","0.8706","26.12","10.48406","0.8706"
,,,"26.13","4.372597","0.8709334","26.13","21.80258","0.8709334","26.13","10.47611","0.8709334"
,,,"26.14","4.371007","0.8712667","26.14","21.85186","0.8712667","26.14","10.47452","0.8713"
,,,"26.15","4.366239","0.8715667","26.15","21.88683","0.8716","26.15","10.48088","0.8716"
,,,"26.16","4.350344","0.8719","26.16","21.89477","0.8719","26.16","10.49678","0.8719333"
,,,"26.17","4.33286","0.8722333","26.17","21.8598","0.8722333","26.17","10.5079","0.8723"
,,,"26.18","4.321734","0.8725667","26.18","21.7851","0.8725667","26.18","10.50154","0.8726"
,,,"26.19","4.318555","0.8729","26.19","21.68655","0.8729","26.19","10.48724","0.8729"
,,,"26.2","4.318555","0.8732667","26.2","21.61026","0.8732333","26.2","10.46022","0.8732333"
,,,"26.21","4.318555","0.8736","26.21","21.59437","0.8735667","26.21","10.43479","0.8735667"
,,,"26.22","4.324913","0.8739333","26.22","21.63092","0.8739333","26.22","10.42684","0.8739333"
,,,"26.23","4.33286","0.8742667","26.23","21.66112","0.8742667","26.23","10.43797","0.8742667"
,,,"26.24","4.337629","0.8746334","26.24","21.66589","0.8745667","26.24","10.45068","0.8746"
,,,"26.25","4.342397","0.8749334","26.25","21.64841","0.8749","26.25","10.45545","0.8749334"
,,,"26.26","4.347166","0.8752667","26.26","21.61185","0.8752334","26.26","10.44591","0.8753"
,,,"26.27","4.345576","0.8755667","26.27","21.54191","0.8756","26.27","10.42525","0.8756334"
,,,"26.28","4.33286","0.8759","26.28","21.44178","0.8759333","26.28","10.40936","0.8759667"
,,,"26.29","4.324913","0.8762333","26.29","21.33687","0.8762667","26.29","10.40141","0.8762667"
,,,"26.3","4.324913","0.8765666","26.3","21.27012","0.8766","26.3","10.39982","0.8766"
,,,"26.31","4.318555","0.8769","26.31","21.24945","0.8769333","26.31","10.39187","0.8769333"
,,,"26.32","4.30584","0.8772333","26.32","21.24468","0.8772667","26.32","10.38074","0.8772667"
,,,"26.33","4.291534","0.8775667","26.33","21.23356","0.8776","26.33","10.38074","0.8776"
,,,"26.34","4.283587","0.8779","26.34","21.21131","0.8779333","26.34","10.38551","0.8779333"
,,,"26.35","4.285177","0.8782333","26.35","21.17793","0.8782333","26.35","10.38869","0.8782333"
,,,"26.36","4.280408","0.8785667","26.36","21.14614","0.8785667","26.36","10.39664","0.8786"
,,,"26.37","4.272461","0.8789","26.37","21.12389","0.8789","26.37","10.4173","0.8789334"
,,,"26.38","4.267693","0.8792","26.38","21.09686","0.8792334","26.38","10.43797","0.8792667"
,,,"26.39","4.270872","0.8795667","26.39","21.04282","0.8795667","26.39","10.44273","0.8796"
,,,"26.4","4.267693","0.8799","26.4","20.95381","0.8799334","26.4","10.43002","0.8799667"
,,,"26.41","4.264513","0.8802","26.41","20.82189","0.8802667","26.41","10.42207","0.8802667"
,,,"26.42","4.259745","0.8805","26.42","20.65977","0.8805667","26.42","10.42048","0.8806334"
,,,"26.43","4.254977","0.8808666","26.43","20.50559","0.8808666","26.43","10.40936","0.8809333"
,,,"26.44","4.24703","0.8812333","26.44","20.39274","0.8812333","26.44","10.38869","0.8812333"
,,,"26.45","4.243851","0.8816","26.45","20.33869","0.8815667","26.45","10.37598","0.8815667"
,,,"26.46","4.242261","0.8819333","26.46","20.3228","0.8819","26.46","10.38869","0.8819"
,,,"26.47","4.234314","0.8822333","26.47","20.32757","0.8822333","26.47","10.42048","0.8822667"
,,,"26.48","4.224777","0.8825667","26.48","20.33393","0.8825334","26.48","10.44273","0.8826"
,,,"26.49","4.224777","0.8829333","26.49","20.32757","0.8828667","26.49","10.44273","0.8829333"
,,,"26.5","4.229546","0.8832667","26.5","20.31008","0.8832","26.5","10.4173","0.8832667"
,,,"26.51","4.221598","0.8836","26.51","20.27353","0.8835667","26.51","10.38869","0.8836"
,,,"26.52","4.210472","0.8839334","26.52","20.18929","0.8839","26.52","10.3728","0.8839334"
,,,"26.53","4.213651","0.8842334","26.53","20.04782","0.8842334","26.53","10.37916","0.8842667"
,,,"26.54","4.221598","0.8845667","26.54","19.87298","0.8845667","26.54","10.39187","0.8845667"
,,,"26.55","4.226367","0.8849","26.55","19.69973","0.8849","26.55","10.39982","0.8849"
,,,"26.56","4.21842","0.8852667","26.56","19.53284","0.8852333","26.56","10.39664","0.8852667"
,,,"26.57","4.213651","0.8856333","26.57","19.37389","0.8856","26.57","10.38551","0.8856"
,,,"26.58","4.21842","0.8859667","26.58","19.24833","0.8859333","26.58","10.38392","0.8859333"
,,,"26.59","4.224777","0.8862666","26.59","19.16091","0.8862666","26.59","10.38392","0.8862666"
,,,"26.6","4.21683","0.8866","26.6","19.08779","0.8866","26.6","10.38392","0.8866"
,,,"26.61","4.210472","0.8869","26.61","18.99084","0.8869333","26.61","10.38392","0.8869"
,,,"26.62","4.21842","0.8872333","26.62","18.83825","0.8872333","26.62","10.38869","0.8872333"
,,,"26.63","4.21683","0.8876","26.63","18.62685","0.8876","26.63","10.40141","0.8876"
,,,"26.64","4.204114","0.8879333","26.64","18.38048","0.8879333","26.64","10.4173","0.8879333"
,,,"26.65","4.196167","0.8882667","26.65","18.1071","0.8882667","26.65","10.43002","0.8883"
,,,"26.66","4.204114","0.8886","26.66","17.79079","0.8886334","26.66","10.42684","0.8886334"
,,,"26.67","4.21683","0.8889667","26.67","17.4125","0.8889334","26.67","10.42207","0.8889667"
,,,"26.68","4.21842","0.8892667","26.68","16.97063","0.8892334","26.68","10.43479","0.8893"
,,,"26.69","4.213651","0.8895667","26.69","16.48108","0.8895667","26.69","10.4634","0.8896"
,,,"26.7","4.21683","0.8898667","26.7","15.95497","0.8899333","26.7","10.49995","0.8899333"
,,,"26.71","4.224777","0.8902333","26.71","15.40343","0.8902667","26.71","10.52539","0.8902667"
,,,"26.72","4.221598","0.8905666","26.72","14.82646","0.8906","26.72","10.5381","0.8906333"
,,,"26.73","4.210472","0.8909","26.73","14.21452","0.8909","26.73","10.54287","0.8909667"
,,,"26.74","4.200935","0.8912","26.74","13.56125","0.8912333","26.74","10.54287","0.8913"
,,,"26.75","4.18822","0.8915333","26.75","12.87937","0.8916","26.75","10.5381","0.8916"
,,,"26.76","4.177094","0.8918667","26.76","12.20862","0.8919","26.76","10.52539","0.8919667"
,,,"26.77","4.183451","0.8922334","26.77","11.58714","0.8922667","26.77","10.51267","0.8923"
,,,"26.78","4.196167","0.8925667","26.78","11.03401","0.8925667","26.78","10.51426","0.8926333"
,,,"26.79","4.189809","0.8929334","26.79","10.55082","0.8929","26.79","10.52856","0.8929334"
,,,"26.8","4.172325","0.8932334","26.8","10.13597","0.8932334","26.8","10.54605","0.8932667"
,,,"26.81","4.150073","0.8935667","26.81","9.794235","0.8935667","26.81","10.57466","0.8936334"
,,,"26.82","4.135767","0.8939","26.82","9.514491","0.8939","26.82","10.61598","0.894"
,,,"26.83","4.123052","0.8942333","26.83","9.261767","0.8942333","26.83","10.65095","0.8943"
,,,"26.84","4.121462","0.8945667","26.84","9.009044","0.8945333","26.84","10.65095","0.8946334"
,,,"26.85","4.123052","0.8949","26.85","8.738835","0.8949","26.85","10.60486","0.8949333"
,,,"26.86","4.134178","0.8952333","26.86","8.435249","0.8952","26.86","10.52856","0.8953"
,,,"26.87","4.146894","0.8955667","26.87","8.093516","0.8955333","26.87","10.4332","0.8956"
,,,"26.88","4.156431","0.8959333","26.88","7.727941","0.8958667","26.88","10.31717","0.8959333"
,,,"26.89","4.159609","0.8962667","26.89","7.370313","0.8962333","26.89","10.16299","0.8962667"
,,,"26.9","4.156431","0.8966","26.9","7.058779","0.8966","26.9","9.981791","0.8966"
,,,"26.91","4.159609","0.8969","26.91","6.79493","0.8969333","26.91","9.848277","0.8969667"
,,,"26.92","4.162788","0.8972","26.92","6.575584","0.8972667","26.92","9.880066","0.8973"
,,,"26.93","4.154841","0.8975334","26.93","6.410281","0.8976","26.93","10.10895","0.8976333"
,,,"26.94","4.151662","0.8979","26.94","6.300608","0.8979","26.94","10.4332","0.8979667"
,,,"26.95","4.154841","0.8982334","26.95","6.221136","0.8982334","26.95","10.71771","0.8982667"
,,,"26.96","4.151662","0.8985667","26.96","6.14802","0.8985667","26.96","10.90527","0.8985667"
,,,"26.97","4.146894","0.8989","26.97","6.097158","0.8989","26.97","11.01335","0.8989334"
,,,"26.98","4.150073","0.8992333","26.98","6.089211","0.8992333","26.98","11.06262","0.8993"
,,,"26.99","4.154841","0.8995667","26.99","6.109873","0.8995667","26.99","11.07852","0.8996333"
,,,"27","4.154841","0.8999","27","6.121","0.8999","27","11.10236","0.8999667"
,,,"27.01","4.154841","0.9002333","27.01","6.101926","0.9002333","27.01","11.15004","0.9002666"
,,,"27.02","4.159609","0.9005667","27.02","6.063779","0.9005667","27.02","11.19932","0.9006"
,,,"27.03","4.164378","0.9009","27.03","6.017685","0.9009","27.03","11.21521","0.9009"
,,,"27.04","4.164378","0.9012333","27.04","5.963644","0.9012333","27.04","11.17547","0.9012667"
,,,"27.05","4.156431","0.9015667","27.05","5.896886","0.9015667","27.05","11.08646","0.9015667"
,,,"27.06","4.151662","0.9019","27.06","5.814234","0.9019334","27.06","10.97361","0.9019334"
,,,"27.07","4.151662","0.9022334","27.07","5.718867","0.9022334","27.07","10.85122","0.9022667"
,,,"27.08","4.151662","0.9025667","27.08","5.618731","0.9025334","27.08","10.7495","0.9026"
,,,"27.09","4.151662","0.9029","27.09","5.523364","0.9029","27.09","10.67638","0.9029334"
,,,"27.1","4.151662","0.9032","27.1","5.439123","0.9032333","27.1","10.62552","0.9032667"
,,,"27.11","4.164378","0.9035667","27.11","5.356471","0.9036","27.11","10.57148","0.9036"
,,,"27.12","4.180273","0.9039","27.12","5.264282","0.9039","27.12","10.47929","0.9039333"
,,,"27.13","4.185041","0.9042333","27.13","5.162557","0.9042333","27.13","10.33147","0.9042667"
,,,"27.14","4.175504","0.9045667","27.14","5.062421","0.9045667","27.14","10.18047","0.9046333"
,,,"27.15","4.156431","0.9049333","27.15","4.959106","0.9049","27.15","10.101","0.9049667"
,,,"27.16","4.146894","0.9052667","27.16","4.844666","0.9052333","27.16","10.11689","0.9053"
,,,"27.17","4.143715","0.9055667","27.17","4.723867","0.9056","27.17","10.18524","0.9056"
,,,"27.18","4.142126","0.9059","27.18","4.59671","0.9059333","27.18","10.26313","0.9059333"
,,,"27.19","4.143715","0.9062","27.19","4.47909","0.9062334","27.19","10.30127","0.9062667"
,,,"27.2","4.143715","0.9065667","27.2","4.36306","0.9065667","27.2","10.252","0.9065667"
,,,"27.21","4.135767","0.9069","27.21","4.251798","0.9069","27.21","10.06444","0.9069334"
,,,"27.22","4.121462","0.9072334","27.22","4.172325","0.9072334","27.22","9.673436","0.9072667"
,,,"27.23","4.105568","0.9075333","27.23","4.146894","0.9075667","27.23","9.007454","0.9076"
,,,"27.24","4.096031","0.9078667","27.24","4.189809","0.9079","27.24","8.072853","0.9079667"
,,,"27.25","4.084905","0.9082333","27.25","4.259745","0.9082333","27.25","7.065137","0.9082667"
,,,"27.26","4.076958","0.9085667","27.26","4.30425","0.9085333","27.26","6.246567","0.9086"
,,,"27.27","4.076958","0.9089","27.27","4.297892","0.9089","27.27","5.785624","0.9089667"
,,,"27.28","4.088084","0.9092333","27.28","4.267693","0.9092333","27.28","5.726814","0.9092667"
,,,"27.29","4.096031","0.9095667","27.29","4.251798","0.9095667","27.29","6.012917","0.9096"
,,,"27.3","4.096031","0.9099333","27.3","4.280408","0.9099","27.3","6.52949","0.9099333"
,,,"27.31","4.084905","0.9102667","27.31","4.345576","0.9102333","27.31","7.069906","0.9102667"
,,,"27.32","4.075368","0.9105667","27.32","4.399618","0.9105667","27.32","7.336935","0.9106"
,,,"27.33","4.062653","0.9109","27.33","4.405975","0.9109","27.33","7.287661","0.9109333"
,,,"27.34","4.048347","0.9112667","27.34","4.375776","0.9112334","27.34","7.182757","0.9112667"
,,,"27.35","4.046758","0.9116","27.35","4.324913","0.9115667","27.35","7.120768","0.9116"
,,,"27.36","4.056295","0.9119334","27.36","4.264513","0.9119","27.36","7.141431","0.9119"
,,,"27.37","4.072189","0.9122334","27.37","4.200935","0.9122334","27.37","7.545153","0.9122"
,,,"27.38","4.075368","0.9125667","27.38","4.138947","0.9125667","27.38","8.883476","0.9125333"
,,,"27.39","4.06901","0.9129","27.39","4.084905","0.9129","27.39","11.56966","0.9128333"
,,,"27.4","4.075368","0.9132333","27.4","4.026095","0.9132333","27.4","15.44793","0.9132"
,,,"27.41","4.080137","0.9136","27.41","3.960927","0.9135666","27.41","19.71881","0.9136"
,,,"27.42","4.076958","0.9139333","27.42","3.910065","0.9139","27.42","22.92156","0.9139667"
,,,"27.43","4.064242","0.9142667","27.43","3.889402","0.9142333","27.43","23.09163","0.9143"
,,,"27.44","4.048347","0.9145667","27.44","3.889402","0.9146","27.44","19.50741","0.9146"
,,,"27.45","4.029274","0.9149","27.45","3.89417","0.9149","27.45","14.32578","0.9149333"
,,,"27.46","4.008611","0.9152667","27.46","3.892581","0.9152333","27.46","10.5842","0.9152667"
,,,"27.47","4.005432","0.9156","27.47","3.873507","0.9155667","27.47","9.058316","0.9156"
,,,"27.48","4.022916","0.9159334","27.48","3.843307","0.9159","27.48","8.692741","0.9159334"
,,,"27.49","4.034042","0.9162667","27.49","3.798803","0.9162667","27.49","8.721352","0.9162667"
,,,"27.5","4.030863","0.9166","27.5","3.744761","0.9166","27.5","8.962949","0.9166"
,,,"27.51","4.034042","0.9169334","27.51","3.698667","0.9169334","27.51","9.31104","0.9169667"
,,,"27.52","4.046758","0.9172667","27.52","3.652573","0.9172667","27.52","9.606679","0.9173"
,,,"27.53","4.056295","0.9175667","27.53","3.598531","0.9176334","27.53","9.744962","0.9176334"
,,,"27.54","4.048347","0.9179","27.54","3.5429","0.9179333","27.54","9.711583","0.9179667"
,,,"27.55","4.034042","0.9182667","27.55","3.503164","0.9182667","27.55","9.498596","0.9182667"
,,,"27.56","4.030863","0.9185667","27.56","3.480911","0.9185667","27.56","9.042422","0.9186"
,,,"27.57","4.034042","0.9189","27.57","3.460248","0.9189","27.57","8.451144","0.9189333"
,,,"27.58","4.034042","0.9192333","27.58","3.441175","0.9192333","27.58","8.037885","0.9192667"
,,,"27.59","4.022916","0.9195667","27.59","3.428459","0.9195667","27.59","7.93616","0.9196"
,,,"27.6","4.008611","0.9199","27.6","3.406207","0.9199","27.6","7.898013","0.9199333"
,,,"27.61","3.994306","0.9202334","27.61","3.380775","0.9202667","27.61","7.653236","0.9202667"
,,,"27.62","4.000664","0.9205667","27.62","3.364881","0.9206","27.62","7.294019","0.9206333"
,,,"27.63","4.022916","0.9209334","27.63","3.356934","0.9209667","27.63","6.961823","0.9209667"
,,,"27.64","4.038811","0.9212667","27.64","3.336271","0.9212667","27.64","6.5883","0.9213"
,,,"27.65","4.038811","0.9215667","27.65","3.30766","0.9216","27.65","6.229083","0.9216"
,,,"27.66","4.029274","0.9219","27.66","3.298124","0.9219334","27.66","6.155968","0.9219"
,,,"27.67","4.021327","0.9222333","27.67","3.30766","0.9222667","27.67","6.478628","0.9222667"
,,,"27.68","4.010201","0.9225667","27.68","3.331502","0.9225667","27.68","6.879171","0.9226333"
,,,"27.69","4.008611","0.9229333","27.69","3.353755","0.9229","27.69","6.912549","0.9229333"
,,,"27.7","4.014969","0.9232333","27.7","3.387133","0.9232333","27.7","6.545385","0.9232666"
,,,"27.71","4.026095","0.9235667","27.71","3.434817","0.9235667","27.71","6.121","0.9236"
,,,"27.72","4.034042","0.9239333","27.72","3.477732","0.9239","27.72","5.811056","0.9239333"
,,,"27.73","4.035632","0.9242667","27.73","3.495216","0.9242333","27.73","5.56469","0.9242667"
,,,"27.74","4.04199","0.9246","27.74","3.48568","0.9245667","27.74","5.378723","0.9246"
,,,"27.75","4.043579","0.9249","27.75","3.460248","0.9249","27.75","5.386671","0.9249333"
,,,"27.76","4.046758","0.9252334","27.76","3.441175","0.9252334","27.76","5.757014","0.9253"
,,,"27.77","4.054705","0.9256","27.77","3.441175","0.9255667","27.77","6.542206","0.9256"
,,,"27.78","4.06901","0.9259","27.78","3.452301","0.9259","27.78","7.484754","0.9259334"
,,,"27.79","4.075368","0.9262334","27.79","3.477732","0.9262334","27.79","8.193652","0.9263"
,,,"27.8","4.067421","0.9265667","27.8","3.51429","0.9265667","27.8","8.517901","0.9266334"
,,,"27.81","4.04199","0.9269","27.81","3.539721","0.9269","27.81","8.554459","0.9269667"
,,,"27.82","4.018148","0.9272333","27.82","3.5429","0.9272667","27.82","8.408229","0.9272667"
,,,"27.83","4.008611","0.9275666","27.83","3.536542","0.9275666","27.83","8.106232","0.9276"
,,,"27.84","4.018148","0.9279","27.84","3.536542","0.9278667","27.84","7.694562","0.9279333"
,,,"27.85","4.035632","0.9282333","27.85","3.555616","0.9282","27.85","7.252693","0.9282667"
,,,"27.86","4.046758","0.9285667","27.86","3.569921","0.9285333","27.86","6.863276","0.9286"
,,,"27.87","4.046758","0.9288667","27.87","3.565152","0.9289","27.87","6.545385","0.9289333"
,,,"27.88","4.038811","0.9292334","27.88","3.531774","0.9292334","27.88","6.238619","0.9292667"
,,,"27.89","4.034042","0.9296","27.89","3.488858","0.9296","27.89","5.896886","0.9296"
,,,"27.9","4.030863","0.9299","27.9","3.452301","0.9299667","27.9","5.520185","0.9299334"
,,,"27.91","4.026095","0.9302334","27.91","3.434817","0.9302667","27.91","5.135536","0.9302667"
,,,"27.92","4.029274","0.9305667","27.92","3.431638","0.9306","27.92","4.749298","0.9306"
,,,"27.93","4.038811","0.9309","27.93","3.428459","0.9309","27.93","4.401207","0.9309334"
,,,"27.94","4.046758","0.9312","27.94","3.406207","0.9312333","27.94","4.151662","0.9312667"
,,,"27.95","4.030863","0.9315667","27.95","3.360112","0.9315667","27.95","3.997485","0.9316"
,,,"27.96","4.000664","0.9319","27.96","3.318787","0.9319","27.96","3.873507","0.9319333"
,,,"27.97","3.972054","0.9322333","27.97","3.299713","0.9322333","27.97","3.751119","0.9322333"
,,,"27.98","3.975232","0.9325667","27.98","3.294945","0.9326","27.98","3.643036","0.9326"
,,,"27.99","4.002253","0.9329","27.99","3.285408","0.9329333","27.99","3.549258","0.9329"
,,,"28","4.030863","0.9332667","28","3.253619","0.9332667","28","3.431638","0.9332667"
,,,"28.01","4.04199","0.9335667","28.01","3.212293","0.9335667","28.01","3.282229","0.9336"
,,,"28.02","4.038811","0.9339","28.02","3.174146","0.9339","28.02","3.135999","0.9339667"
,,,"28.03","4.034042","0.9342334","28.03","3.150304","0.9342334","28.03","3.007253","0.9342667"
,,,"28.04","4.021327","0.9345667","28.04","3.137589","0.9345667","28.04","2.891223","0.9346333"
,,,"28.05","4.002253","0.9349","28.05","3.123283","0.9348667","28.05","2.799034","0.9349667"
,,,"28.06","3.989537","0.9352334","28.06","3.097852","0.9352334","28.06","2.749761","0.9353"
,,,"28.07","3.98159","0.9355667","28.07","3.066063","0.9355667","28.07","2.749761","0.9356334"
,,,"28.08","3.967285","0.9359","28.08","3.037453","0.9359334","28.08","2.783139","0.9359667"
,,,"28.09","3.95457","0.9362","28.09","3.024737","0.9362667","28.09","2.827644","0.9363"
,,,"28.1","3.956159","0.9365333","28.1","3.029505","0.9366","28.1","2.865791","0.9366333"
,,,"28.11","3.964106","0.9369","28.11","3.040632","0.9368667","28.11","2.895991","0.9369667"
,,,"28.12","3.964106","0.9372333","28.12","3.0454","0.9372","28.12","2.915065","0.9372666"
,,,"28.13","3.960927","0.9375667","28.13","3.043811","0.9375667","28.13","2.907117","0.9376"
,,,"28.14","3.972054","0.9379","28.14","3.032684","0.9379","28.14","2.865791","0.9379667"
,,,"28.15","3.992717","0.9382333","28.15","3.024737","0.9382","28.15","2.799034","0.9383"
,,,"28.16","4.008611","0.9385667","28.16","3.01679","0.9385334","28.16","2.72433","0.9386333"
,,,"28.17","4.008611","0.9389","28.17","3.002485","0.9388667","28.17","2.66552","0.9389334"
,,,"28.18","3.992717","0.9392334","28.18","2.965927","0.9392334","28.18","2.632141","0.9392667"
,,,"28.19","3.972054","0.9396","28.19","2.932549","0.9395667","28.19","2.616246","0.9396"
,,,"28.2","3.95457","0.9399334","28.2","2.915065","0.9399","28.2","2.603531","0.9399667"
,,,"28.21","3.948212","0.9402333","28.21","2.919833","0.9402333","28.21","2.595584","0.9403"
,,,"28.22","3.956159","0.9405667","28.22","2.92937","0.9405667","28.22","2.603531","0.9406667"
,,,"28.23","3.968875","0.9409","28.23","2.935727","0.9409","28.23","2.624194","0.9409333"
,,,"28.24","3.968875","0.9412333","28.24","2.92937","0.9412333","28.24","2.644857","0.9412333"
,,,"28.25","3.95457","0.9415667","28.25","2.92937","0.9415667","28.25","2.657573","0.9416"
,,,"28.26","3.930728","0.9419","28.26","2.954801","0.9419","28.26","2.670288","0.9419333"
,,,"28.27","3.913244","0.9422333","28.27","3.01679","0.9422333","28.27","2.675056","0.9422667"
,,,"28.28","3.905296","0.9426","28.28","3.086726","0.9425667","28.28","2.66552","0.9426"
,,,"28.29","3.910065","0.9429333","28.29","3.13282","0.9429333","28.29","2.633731","0.9429"
,,,"28.3","3.927549","0.9432667","28.3","3.150304","0.9432667","28.3","2.603531","0.9432334"
,,,"28.31","3.943443","0.9436","28.31","3.150304","0.9435667","28.31","2.584457","0.9435667"
,,,"28.32","3.943443","0.9439334","28.32","3.13282","0.9439","28.32","2.571742","0.9439334"
,,,"28.33","3.933907","0.9442334","28.33","3.10262","0.9442334","28.33","2.559026","0.9442667"
,,,"28.34","3.918012","0.9445667","28.34","3.062884","0.9445667","28.34","2.557437","0.9445667"
,,,"28.35","3.913244","0.9449","28.35","3.029505","0.9449","28.35","2.570152","0.9449334"
,,,"28.36","3.914833","0.9452333","28.36","3.0152","0.9452333","28.36","2.590815","0.9453"
,,,"28.37","3.906886","0.9456","28.37","2.999306","0.9455667","28.37","2.611478","0.9456334"
,,,"28.38","3.889402","0.9459333","28.38","2.970695","0.9459","28.38","2.628962","0.9459667"
,,,"28.39","3.876686","0.9462333","28.39","2.921422","0.9462667","28.39","2.638499","0.9463667"
,,,"28.4","3.876686","0.9465667","28.4","2.875328","0.9466","28.4","2.632141","0.9467"
,,,"28.41","3.876686","0.9469","28.41","2.846718","0.9469333","28.41","2.621015","0.9469666"
,,,"28.42","3.871918","0.9472333","28.42","2.829234","0.9472667","28.42","2.617836","0.9472333"
,,,"28.43","3.868739","0.9475667","28.43","2.806981","0.9476","28.43","2.624194","0.9476"
,,,"28.44","3.863971","0.9479","28.44","2.783139","0.9479333","28.44","2.633731","0.9479333"
,,,"28.45","3.859202","0.9482334","28.45","2.762477","0.9482334","28.45","2.646446","0.9483"
,,,"28.46","3.846486","0.9486","28.46","2.732277","0.9485667","28.46","2.659162","0.9486334"
,,,"28.47","3.838539","0.9489","28.47","2.686183","0.9489","28.47","2.654393","0.9489667"
,,,"28.48","3.843307","0.9492334","28.48","2.638499","0.9492334","28.48","2.624194","0.9492667"
,,,"28.49","3.843307","0.9495667","28.49","2.60512","0.9495667","28.49","2.590815","0.9496"
,,,"28.5","3.822644","0.9499","28.5","2.584457","0.9499","28.5","2.582868","0.9499667"
,,,"28.51","3.801982","0.9502333","28.51","2.566973","0.9502333","28.51","2.592405","0.9503"
,,,"28.52","3.798803","0.9505666","28.52","2.554258","0.9506","28.52","2.600352","0.9506333"
,,,"28.53","3.817876","0.9509","28.53","2.543132","0.9509","28.53","2.603531","0.9509667"
,,,"28.54","3.827413","0.9512333","28.54","2.530416","0.9512333","28.54","2.616246","0.9512667"
,,,"28.55","3.825824","0.9515667","28.55","2.509753","0.9515667","28.55","2.636909","0.9516"
,,,"28.56","3.819466","0.9519","28.56","2.495448","0.9519","28.56","2.649625","0.9519333"
,,,"28.57","3.822644","0.9522333","28.57","2.492269","0.9522667","28.57","2.654393","0.9522333"
,,,"28.58","3.817876","0.9525667","28.58","2.492269","0.9525667","28.58","2.657573","0.9526"
,,,"28.59","3.809929","0.9529","28.59","2.48909","0.9529","28.59","2.662341","0.9529334"
,,,"28.6","3.809929","0.9532667","28.6","2.495448","0.9532334","28.6","2.654393","0.9532667"
,,,"28.61","3.817876","0.9536","28.61","2.509753","0.9535667","28.61","2.633731","0.9536334"
,,,"28.62","3.819466","0.9539","28.62","2.533595","0.9539","28.62","2.613068","0.9539334"
,,,"28.63","3.813108","0.9542333","28.63","2.566973","0.9542333","28.63","2.597173","0.9542667"
,,,"28.64","3.798803","0.9545667","28.64","2.60512","0.9545667","28.64","2.584457","0.9546334"
,,,"28.65","3.797213","0.9549","28.65","2.651215","0.9549","28.65","2.574921","0.9549333"
,,,"28.66","3.801982","0.9552333","28.66","2.719561","0.9552333","28.66","2.579689","0.9552667"
,,,"28.67","3.805161","0.9555667","28.67","2.81175","0.9555667","28.67","2.595584","0.9556"
,,,"28.68","3.794034","0.9559","28.68","2.92937","0.9559","28.68","2.611478","0.9559"
,,,"28.69","3.781319","0.9562333","28.69","3.061295","0.9562333","28.69","2.616246","0.9562333"
,,,"28.7","3.768603","0.9565667","28.7","3.197988","0.9565667","28.7","2.621015","0.9566"
,,,"28.71","3.755887","0.9569","28.71","3.353755","0.9569","28.71","2.625783","0.9569333"
,,,"28.72","3.743172","0.9572667","28.72","3.5429","0.9572334","28.72","2.632141","0.9573"
,,,"28.73","3.735224","0.9576","28.73","3.771782","0.9575667","28.73","2.633731","0.9576333"
,,,"28.74","3.732045","0.9579334","28.74","4.043579","0.9579","28.74","2.636909","0.9579334"
,,,"28.75","3.732045","0.9582334","28.75","4.371007","0.9582334","28.75","2.633731","0.9582334"
