"1 _ 1",,,"2A",,,"1 _ 3",,,"4A",,
"Time","Force","Uzama","Time","Force","Uzama","Time","Force","Uzama","Time","Force","Uzama"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"0.76","0.4514059","0.0252","0.76","23.98968","0.02526667","0.76","16.60029","0.02523333","0.76","27.9808","0.0253"
"0.77","0.4514059","0.02553333","0.77","23.96584","0.0256","0.77","16.72427","0.02556667","0.77","27.99034","0.0256"
"0.78","0.4545847","0.02586667","0.78","23.96107","0.02593333","0.78","16.79579","0.02593333","0.78","27.9808","0.02593333"
"0.79","0.4514059","0.0262","0.79","23.9563","0.02623333","0.79","16.8244","0.02626667","0.79","27.95696","0.0263"
"0.8","0.4418691","0.02653333","0.8","23.92292","0.02656667","0.8","16.84189","0.0266","0.8","27.93948","0.0266"
"0.81","0.4291534","0.02686667","0.81","23.86093","0.0269","0.81","16.85778","0.0269","0.81","27.92358","0.02693333"
"0.82","0.4259745","0.0272","0.82","23.80212","0.02723333","0.82","16.88321","0.02723333","0.82","27.91087","0.02726667"
"0.83","0.4291534","0.0275","0.83","23.77669","0.02756667","0.83","16.94044","0.02756667","0.83","27.90292","0.0276"
"0.84","0.4307429","0.02783333","0.84","23.77828","0.0279","0.84","17.02785","0.0279","0.84","27.9061","0.02793333"
"0.85","0.4418691","0.0282","0.85","23.78623","0.02823333","0.85","17.12799","0.02823333","0.85","27.90769","0.02823333"
"0.86","0.4641215","0.02853333","0.86","23.78941","0.02856667","0.86","17.21541","0.02856667","0.86","27.89497","0.0286"
"0.87","0.4911423","0.02883333","0.87","23.78623","0.0289","0.87","17.28694","0.0289","0.87","27.86954","0.02896667"
"0.88","0.5038579","0.02913333","0.88","23.78623","0.02923333","0.88","17.34575","0.02923333","0.88","27.84888","0.0293"
"0.89","0.4959106","0.0295","0.89","23.79099","0.02953333","0.89","17.37753","0.02956667","0.89","27.85365","0.02963333"
"0.9","0.483195","0.02986667","0.9","23.81007","0.0299","0.9","17.36482","0.0299","0.9","27.87272","0.02996667"
"0.91","0.483195","0.0302","0.91","23.83073","0.03023333","0.91","17.3076","0.03023333","0.91","27.87749","0.03033333"
"0.92","0.4911423","0.03053333","0.92","23.84027","0.03056667","0.92","17.22813","0.03053333","0.92","27.85683","0.03066667"
"0.93","0.4959106","0.03086667","0.93","23.84027","0.0309","0.93","17.15342","0.03086667","0.93","27.83616","0.03093333"
"0.94","0.4847845","0.03123333","0.94","23.84027","0.03123333","0.94","17.12004","0.03123333","0.94","27.81868","0.03126667"
"0.95","0.4673004","0.03156667","0.95","23.83232","0.03156667","0.95","17.13276","0.03156667","0.95","27.80279","0.03156667"
"0.96","0.4593531","0.03186667","0.96","23.78146","0.0319","0.96","17.14548","0.0319","0.96","27.79007","0.0319"
"0.97","0.4673004","0.0322","0.97","23.69404","0.03226667","0.97","17.12481","0.03223334","0.97","27.78689","0.03226667"
"0.98","0.4784266","0.03253333","0.98","23.61456","0.03256667","0.98","17.07872","0.03256667","0.98","27.80596","0.0326"
"0.99","0.4847845","0.0329","0.99","23.58119","0.0329","0.99","17.01991","0.0329","0.99","27.82027","0.0329"
"1","0.483195","0.03323333","1","23.58595","0.03323333","1","16.95951","0.03323333","1","27.82663","0.03323333"
"1.01","0.483195","0.03353333","1.01","23.61139","0.03356667","1.01","16.91183","0.03356667","1.01","27.81868","0.0336"
"1.02","0.4959106","0.03386667","1.02","23.63205","0.0339","1.02","16.88639","0.0339","1.02","27.81073","0.03396667"
"1.03","0.5133947","0.03423334","1.03","23.62887","0.03423334","1.03","16.89116","0.03423334","1.03","27.80279","0.03426667"
"1.04","0.5165736","0.03453333","1.04","23.61616","0.0346","1.04","16.92613","0.03456667","1.04","27.79007","0.03456667"
"1.05","0.5054474","0.03486667","1.05","23.60344","0.03493333","1.05","16.98653","0.0349","1.05","27.77735","0.0349"
"1.06","0.4990896","0.0352","1.06","23.59867","0.03526667","1.06","17.05011","0.03523333","1.06","27.76941","0.03526667"
"1.07","0.500679","0.03553334","1.07","23.59072","0.0356","1.07","17.09938","0.03556667","1.07","27.76146","0.03556667"
"1.08","0.500679","0.03586667","1.08","23.57801","0.03593333","1.08","17.12004","0.03593333","1.08","27.75351","0.03593333"
"1.09","0.4927317","0.0362","1.09","23.55417","0.03623333","1.09","17.11687","0.03626667","1.09","27.75192","0.03626667"
"1.1","0.4847845","0.03653333","1.1","23.51602","0.03656667","1.1","17.10097","0.03656667","1.1","27.75192","0.0366"
"1.11","0.4800161","0.0369","1.11","23.47787","0.0369","1.11","17.08666","0.0369","1.11","27.74397","0.03693333"
"1.12","0.4752477","0.03723333","1.12","23.45721","0.03723333","1.12","17.06759","0.03723333","1.12","27.73603","0.0373"
"1.13","0.4704793","0.03753334","1.13","23.4588","0.03756667","1.13","17.01673","0.03756667","1.13","27.74397","0.0376"
"1.14","0.4720688","0.03786667","1.14","23.46992","0.03793333","1.14","16.91659","0.0379","1.14","27.75828","0.0379"
"1.15","0.4752477","0.0382","1.15","23.46516","0.03823333","1.15","16.81646","0.03823333","1.15","27.76941","0.03823333"
"1.16","0.4704793","0.03853333","1.16","23.45244","0.03856667","1.16","16.79103","0.03856667","1.16","27.76464","0.0386"
"1.17","0.4641215","0.03886667","1.17","23.44131","0.0389","1.17","16.84666","0.0389","1.17","27.7408","0.03893333"
"1.18","0.4720688","0.0392","1.18","23.43178","0.03923333","1.18","16.94044","0.03923333","1.18","27.71854","0.03926667"
"1.19","0.4879633","0.03953333","1.19","23.41588","0.03956667","1.19","17.03421","0.03956667","1.19","27.7106","0.0396"
"1.2","0.4959106","0.03986667","1.2","23.39204","0.0399","1.2","17.1423","0.0399","1.2","27.71219","0.03993334"
"1.21","0.4911423","0.0402","1.21","23.36184","0.04023333","1.21","17.28376","0.04023333","1.21","27.72013","0.04026667"
"1.22","0.483195","0.04053333","1.22","23.33164","0.04056667","1.22","17.44588","0.04056667","1.22","27.72331","0.0406"
"1.23","0.4784266","0.04083334","1.23","23.31257","0.0409","1.23","17.59052","0.04093333","1.23","27.72331","0.04093333"
"1.24","0.4673004","0.0412","1.24","23.31098","0.04123333","1.24","17.70337","0.04123333","1.24","27.71219","0.04123333"
"1.25","0.462532","0.04153333","1.25","23.3078","0.04156667","1.25","17.79874","0.04156667","1.25","27.69788","0.04156667"
"1.26","0.4704793","0.04183333","1.26","23.28396","0.0419","1.26","17.88934","0.0419","1.26","27.68517","0.0419"
"1.27","0.483195","0.0422","1.27","23.25376","0.04223333","1.27","17.97199","0.04223333","1.27","27.66927","0.04226667"
"1.28","0.4959106","0.04253333","1.28","23.22992","0.0426","1.28","18.03557","0.0426","1.28","27.65656","0.0426"
"1.29","0.5038579","0.04286667","1.29","23.22038","0.0429","1.29","18.05623","0.0429","1.29","27.64543","0.04293333"
"1.3","0.5054474","0.0432","1.3","23.21243","0.04323334","1.3","18.01014","0.04323334","1.3","27.63271","0.04326667"
"1.31","0.5165736","0.04353333","1.31","23.21243","0.04356667","1.31","17.93861","0.04353333","1.31","27.62794","0.04356667"
"1.32","0.5372365","0.04386667","1.32","23.21561","0.0439","1.32","17.91477","0.0439","1.32","27.63589","0.04393333"
"1.33","0.5531311","0.04423333","1.33","23.2029","0.04426667","1.33","17.9402","0.04423333","1.33","27.6502","0.04426667"
"1.34","0.5467733","0.04453333","1.34","23.17111","0.0446","1.34","17.96564","0.04456667","1.34","27.6502","0.0446"
